manufacturer,antennaModel,standardModel,diameter_ft,diameter_m,gain_dBi,notes
CABLEWAVE SYSTEMS,DA8-65AC,DA865AC,8,2.44,42.3,https://www.rfsworld.com/pim/product/html/DA8-65AC
RFS,DA8-W57A,DA8W57A,8,2.44,41.5,https://www.rfsworld.com/pim/product/html/DA8-W57AC
CABLEWAVE SYSTEMS,DAX10-59,DAX1059,10,3.05,43.2,https://www.rfsworld.com/pim/product/html/DAX10-59AC4
RFS,DAX10-59,DAX1059,10,3.05,43.2,https://www.rfsworld.com/pim/product/html/DAX10-59AC
CABLEWAVE SYSTEMS,DAX10-59A,DAX1059A,10,3.05,43.2,https://www.rfsworld.com/pim/product/html/DAX10-59AC4
RFS,DAX10-59A,DAX1059A,10,3.05,43.2,https://www.rfsworld.com/pim/product/html/DAX10-59AC
CABLEWAVE SYSTEMS,DAX10-59AC,DAX1059AC,10,3.05,43.2,https://www.rfsworld.com/pim/product/html/DAX10-59AC
CABLEWAVE SYSTEMS,DAX10-59C,DAX1059C,10,3.05,43.2,https://www.rfsworld.com/pim/product/html/DAX10-59AC
RFS/Cablewave,DAX1065,DAX1065,10,3.05,43.9,https://www.rfsworld.com/pim/product/html/DAX10-65AC
RFS,DAX10-65A,DAX1065A,10,3.05,43.9,https://www.rfsworld.com/pim/product/html/DAX10-65AC
RFS,DAX10-W59 (P),DAX10W59P,10,3.05,43.5,https://www.rfsworld.com/pim/product/html/DAX10-W59AC
RFS,DAX10-W59(P),DAX10W59P,10,3.05,43.5,https://www.rfsworld.com/pim/product/html/DAX10-W59AC
RFS,DAX10-W59 RF,DAX10W59RF,10,3.05,43.5,https://www.rfsworld.com/pim/product/html/DAX10-W59AC
CABLEWAVE SYSTEMS,DAX12-59,DAX1259,12,3.66,44.8,https://www.rfsworld.com/pim/product/html/DAX12-59AC
RFS,DAX12-59,DAX1259,12,3.66,44.8,https://www.rfsworld.com/pim/product/html/DAX12-59AC
RFS,DAX12-59A,DAX1259A,12,3.66,44.8,https://www.rfsworld.com/pim/product/html/DAX12-59AC
RFS,DAX12-W59,DAX12W59,12,3.66,44.8,http://www.dadehnama.ir/uploads/4_313508659575390274.pdf
CABLEWAVE SYSTEMS,DAX6-59A,DAX659A,6,1.83,38.7,Comsearch's Frequency Coordination Database
RFS,DAX6-59A,DAX659A,6,1.83,38.7,Comsearch's Frequency Coordination Database
RFS,DAX6-59B,DAX659B,6,1.83,38.7,Comsearch's Frequency Coordination Database
RFS,DAX6-59B(P),DAX659BP,6,1.83,38.7,Comsearch's Frequency Coordination Database
,DAX6-65B,DAX665B,6,1.83,39.7,"https://www.rfsworld.com/images/sma/rpe/dax6-65b,%20011103.pdf"
CABLEWAVE SYSTEMS,DAX8-59,DAX859,8,2.44,41.3,https://www.rfsworld.com/pim/product/html/DAX8-59AC
RFS,DAX8-59,DAX859,8,2.44,41.3,https://www.rfsworld.com/pim/product/html/DAX8-59AC
CABLEWAVE SYSTEMS,DAX8-59A,DAX859A,8,2.44,41.3,https://www.rfsworld.com/pim/product/html/DAX8-59AC
RFS,DAX8-59A,DAX859A,8,2.44,41.3,https://www.rfsworld.com/pim/product/html/DAX8-59AC
